timestamp,open,high,low,close,volume,close_time,q_av,trades,tb_base_av,tb_quote_av,ignore
open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704067200000,101.7750,102.8250,101.6000,102.0410,743521,1704070799999,75990420.6200,97138,375595,38391973.2700,0
1704070800000,102.0400,104.8600,101.6050,104.2220,1114768,1704074399999,115533854.6110,116195,557464,57755999.9620,0
1704074400000,104.2180,104.5500,103.2770,103.8040,665354,1704077999999,69102854.2360,75260,341661,35493468.1590,0
1704078000000,103.8070,104.1170,102.6080,103.1810,722975,1704081599999,74599587.2800,89205,339117,34995535.9930,0
1704081600000,103.1730,104.1290,101.5880,102.7150,880831,1704085199999,90379055.9620,109369,416435,42744811.3420,0
1704085200000,102.7140,102.8920,101.5300,101.7340,453563,1704088799999,46387016.3590,58443,221292,22630977.4100,0
1704088800000,101.7220,102.6090,101.6130,102.4160,360837,1704092399999,36850531.4330,45284,185705,18962190.6680,0
1704092400000,102.4120,103.3490,101.8310,102.5810,635269,1704095999999,65163561.6390,67228,294889,30252730.5200,0
1704096000000,102.5790,103.0720,102.0300,102.6120,410222,1704099599999,42082215.3580,49837,213091,21862308.6600,0
1704099600000,102.6030,104.5000,101.8410,104.1550,1054892,1704103199999,109040848.5690,97991,535267,55344604.1350,0
1704103200000,104.1600,105.0000,104.0790,104.2840,969133,1704106799999,101305625.8180,100642,510458,53369479.0910,0
1704106800000,104.2800,104.7420,103.8520,104.4800,616204,1704110399999,64249687.3600,64467,298387,31120808.8090,0
1704110400000,104.4810,106.2890,103.9600,104.8750,1188843,1704113999999,124963728.3540,127371,623952,65599677.6800,0
1704114000000,104.8760,105.9000,104.4420,105.4000,850791,1704117599999,89610166.2870,93378,428702,45158082.9360,0
1704117600000,105.4000,105.4310,104.4000,104.4940,676240,1704121199999,70835421.5360,80038,317957,33305503.6290,0
1704121200000,104.4910,106.5000,104.2770,106.0830,884400,1704124799999,93370929.0820,103373,447325,47229324.6380,0
1704124800000,106.0790,108.5000,105.9190,106.7220,1652353,1704128399999,177463147.9230,190597,815260,87568428.9630,0
1704128400000,106.7230,107.2730,106.1520,107.1600,543077,1704131999999,57929836.5550,70467,286997,30619379.8010,0
1704132000000,107.1540,108.6560,107.1460,107.9820,1018142,1704135599999,109973616.3640,129619,495088,53479112.6950,0
1704135600000,107.9820,109.3080,107.5020,108.8880,892079,1704139199999,96850041.5290,105765,442944,48104553.7170,0
1704139200000,108.8880,109.5430,107.7610,108.0360,888623,1704142799999,96600952.6610,108759,429533,46705801.9280,0
1704142800000,108.0450,108.4460,107.6470,108.2190,459064,1704146399999,49589466.7340,60732,232785,25149654.1440,0
1704146400000,108.2130,108.3110,107.3190,108.2380,470284,1704149999999,50713187.4280,51367,217277,23436150.6940,0
1704150000000,108.2390,110.0780,108.2160,110.0470,840517,1704153599999,91679097.9760,100385,469139,51183360.1950,0
1704153600000,110.0540,111.1410,108.5850,110.7070,1451184,1704157199999,159025948.5850,182386,722485,79210134.8190,0
1704157200000,110.7150,113.3900,110.6940,111.3210,2477583,1704160799999,277258854.8780,306908,1235758,138294268.7850,0
1704160800000,111.3200,112.0970,111.1000,112.0640,843342,1704164399999,94134784.0990,121134,434249,48477103.4680,0
1704164400000,112.0580,112.1680,110.8500,111.5180,782369,1704167999999,87066262.8130,107177,370647,41249936.6120,0
1704168000000,111.5180,112.9350,111.0000,112.5530,814617,1704171599999,91107194.5980,109991,415654,46492516.4320,0
1704171600000,112.5500,113.2990,112.2350,112.7330,1065847,1704175199999,120214765.1420,144013,528518,59618449.4920,0
1704175200000,112.7310,113.4470,111.8430,112.7510,858008,1704178799999,96642219.4740,111556,406244,45773318.3200,0
1704178800000,112.7590,114.8000,112.7070,114.5300,1535533,1704182399999,175118380.9950,193067,767234,87486802.6780,0
1704182400000,114.5300,115.1500,113.7350,114.5860,1521087,1704185999999,174270749.4900,190954,705942,80902652.3670,0
1704186000000,114.5900,117.1000,114.4210,116.0050,2273434,1704189599999,263894645.2830,268912,1146966,133120920.1810,0
1704189600000,116.0040,116.8000,114.5340,115.4720,2034996,1704193199999,235100266.2190,241601,968076,111857311.0060,0
1704193200000,115.4670,115.8860,112.8010,114.1130,2115009,1704196799999,241871895.2490,227190,951791,108896486.2590,0
1704196800000,114.1140,114.6350,113.0000,113.1980,1372366,1704200399999,156227618.3390,171636,663825,75587049.6880,0
1704200400000,113.2000,114.2920,113.0860,113.5640,987028,1704203999999,112341600.6430,128846,499625,56869725.7410,0
1704204000000,113.5650,114.0000,109.3000,110.2100,3070048,1704207599999,342079553.8910,334216,1390486,154988777.0170,0
1704207600000,110.2050,110.7720,107.7690,109.7210,2788019,1704211199999,305200019.8010,322817,1342303,146988343.8870,0
1704211200000,109.7210,110.5000,108.6310,110.2370,1576335,1704214799999,172712505.4780,192282,788087,86378100.0390,0
1704214800000,110.2200,110.4990,106.7430,107.7910,1920156,1704218399999,208035430.8080,235897,882381,95612347.7370,0
1704218400000,107.7910,108.5470,107.4620,107.9290,770800,1704221999999,83299808.8290,114318,372537,40265398.3040,0
1704222000000,107.9290,109.1820,107.0520,107.7660,1206004,1704225599999,130322003.5370,161185,607028,65625753.0730,0
1704225600000,107.7690,108.8120,107.0490,107.1380,976775,1704229199999,105475667.8700,135900,497711,53758183.7020,0
1704229200000,107.1470,108.1430,106.6410,108.0940,926724,1704232799999,99521472.0060,131471,482784,51854902.1270,0
1704232800000,108.0940,108.9940,107.6330,108.0640,822035,1704236399999,89113302.3010,107410,407856,44217936.9230,0
1704236400000,108.0640,108.1230,106.1000,106.8300,897193,1704239999999,95981850.7100,105938,427984,45795429.2980,0
1704240000000,106.8280,108.1270,106.5920,107.4310,1076364,1704243599999,115700245.9570,129764,535447,57546561.9250,0
1704243600000,107.4300,108.6750,106.7140,108.2710,860660,1704247199999,92665783.0270,103179,438629,47233294.0980,0
1704247200000,108.2560,108.7980,107.5100,107.7560,679669,1704250799999,73519999.1070,82649,330701,35775316.4390,0
1704250800000,107.7550,108.2000,107.2190,108.1980,531390,1704254399999,57240058.8100,65699,280304,30198280.1750,0
1704254400000,108.1980,108.5380,107.1430,108.0760,720737,1704257999999,77725810.9850,84249,357530,38558697.5220,0
1704258000000,108.0760,109.0000,107.8010,108.3830,802996,1704261599999,87188113.4320,92840,383641,41659886.4250,0
1704261600000,108.3840,109.8980,107.9560,109.3480,1214686,1704265199999,132475483.0350,130543,636034,69392342.7050,0
1704265200000,109.3470,109.9500,107.4890,107.8410,1246231,1704268799999,135467961.4550,143290,563649,61288055.2400,0
1704268800000,107.8470,108.6650,107.6090,108.4030,826712,1704272399999,89380220.1040,94542,415415,44923026.8040,0
1704272400000,108.4050,109.5000,108.2630,109.0500,1094227,1704275999999,119197217.4510,129687,575684,62708177.3060,0
1704276000000,109.0490,109.4500,106.3300,107.3440,1903187,1704279599999,205145552.8310,201816,864633,93213289.1240,0
1704279600000,107.3440,107.4740,102.1940,103.4990,4382862,1704283199999,459252852.6910,451106,2010247,210699614.4270,0
1704283200000,103.5000,103.5640,83.5100,100.2490,14168592,1704286799999,1360199228.7160,1197797,6525324,628100449.9820,0
1704286800000,100.2510,100.2550,96.4630,98.4720,4457975,1704290399999,439596941.8960,484629,2065432,203693505.7800,0
1704290400000,98.4760,98.6580,95.0000,96.5940,3358858,1704293999999,324974553.5590,388377,1589850,153854815.8260,0
1704294000000,96.5840,102.2200,96.4410,102.1170,2935821,1704297599999,289661429.9710,347975,1484439,146622731.0870,0
1704297600000,102.1040,103.2150,98.3700,99.5610,4762387,1704301199999,478982410.0770,494478,2275683,229047003.0720,0
1704301200000,99.5670,99.6850,96.4440,97.7320,2050815,1704304799999,200992773.6780,256181,864741,84781043.2100,0
1704304800000,97.7250,98.8550,95.0000,96.8250,1935923,1704308399999,188233647.0560,224031,894129,86958519.3220,0
1704308400000,96.8240,98.4490,96.4540,97.3630,1255269,1704311999999,122415460.0700,163634,622925,60752922.6340,0
1704312000000,97.3630,99.7710,97.2000,99.5800,1093389,1704315599999,107973709.3770,132643,555399,54840967.5300,0
1704315600000,99.5820,100.5600,98.6010,100.2580,1194432,1704319199999,119026597.2690,137423,578200,57637893.9970,0
1704319200000,100.2610,100.2980,98.1160,98.8100,820243,1704322799999,81391812.3570,89645,378810,37595427.8380,0
1704322800000,98.8110,98.9980,97.7640,98.5190,630870,1704326399999,62005724.4800,74962,310731,30541031.4930,0
1704326400000,98.5190,100.3990,98.1600,100.1160,961162,1704329999999,95704352.5240,119622,497784,49556493.8550,0
1704330000000,100.1160,100.4060,97.5660,98.3760,1043001,1704333599999,103021842.8030,133124,493294,48715239.2270,0
1704333600000,98.3780,101.2000,98.0230,100.9310,833902,1704337199999,83330067.3960,107475,419844,41956228.2670,0
1704337200000,100.9310,102.0000,100.1570,101.1080,945013,1704340799999,95553221.2790,111024,475675,48098858.1660,0
1704340800000,101.1060,101.4910,100.2250,100.5580,587638,1704344399999,59210137.6710,74176,283269,28548517.7630,0
1704344400000,100.5570,101.7380,99.6120,101.2220,846648,1704347999999,85288651.1600,97918,412779,41601160.1640,0
1704348000000,101.2220,101.5310,100.4280,100.7760,586120,1704351599999,59165279.3830,69008,265311,26783157.6800,0
1704351600000,100.7640,101.2430,98.7600,98.9150,1233123,1704355199999,123062093.9320,142422,559424,55849794.5410,0
1704355200000,98.9240,99.3090,97.1090,98.0740,1261522,1704358799999,124052578.0950,144056,571323,56204934.6070,0
1704358800000,98.0800,99.1590,98.0360,98.4970,686985,1704362399999,67687928.0420,83047,351981,34680773.9310,0
1704362400000,98.4980,99.0510,96.5880,98.3280,1462015,1704365999999,142948020.0950,164114,706710,69112717.0490,0
1704366000000,98.3290,98.9270,97.5520,98.5300,895943,1704369599999,88056585.6280,112643,446899,43927863.8940,0
1704369600000,98.5300,99.8540,98.1310,99.4030,1324493,1704373199999,131351462.3110,160264,657283,65191183.8050,0
1704373200000,99.4020,100.5000,98.1000,99.9170,1104814,1704376799999,109814952.9260,132734,549047,54589284.5220,0
1704376800000,99.9050,102.3570,99.3750,102.3200,1669604,1704380399999,168337542.5230,193969,864454,87200938.2180,0
1704380400000,102.3220,104.4380,101.6000,103.6910,2556264,1704383999999,263773758.7310,285161,1255849,129613049.9480,0
1704384000000,103.6940,104.0580,101.6880,102.0340,1676507,1704387599999,171937919.7050,180827,786303,80647986.3610,0
1704387600000,102.0350,103.7420,101.5020,103.0660,1409490,1704391199999,144818865.3060,160541,699171,71849713.7450,0
1704391200000,103.0660,103.9980,102.6370,103.6490,748940,1704394799999,77400850.6780,94195,355257,36718609.1850,0
1704394800000,103.6500,106.9180,103.5330,105.1760,2292234,1704398399999,241640915.4350,249097,1182205,124628675.0710,0
1704398400000,105.1740,108.3000,105.1630,106.3390,2120912,1704401999999,226834551.3530,243333,1082386,115743999.7160,0
1704402000000,106.3370,107.1950,105.2280,105.6350,1233840,1704405599999,130949064.1590,150673,591269,62765585.3470,0
1704405600000,105.6340,106.8430,104.4000,104.8320,1019112,1704409199999,107727128.2220,113829,466738,49384884.1960,0
1704409200000,104.8260,105.4320,104.4010,104.9750,572088,1704412799999,59997783.4460,70024,299351,31399657.3330,0
1704412800000,104.9610,105.5460,102.6440,104.1230,1214534,1704416399999,126450259.4430,137931,565316,58892691.8360,0
1704416400000,104.1110,104.6890,98.1300,101.0220,2625016,1704419999999,266417120.6550,268802,1178496,119706055.5810,0
1704420000000,101.0210,102.7280,100.3890,101.0390,1518283,1704423599999,154146327.2700,181530,739676,75112521.9720,0
1704423600000,101.0510,101.9590,100.5170,100.9970,693122,1704427199999,70163794.3260,92817,339787,34399337.3860,0
1704427200000,100.9900,101.4570,100.0210,100.8110,970314,1704430799999,97744691.2840,130009,483648,48735093.6470,0
1704430800000,100.8100,102.2550,100.6150,101.4090,880433,1704434399999,89256864.2380,101982,458356,46470654.4340,0
1704434400000,101.4120,101.7920,100.5110,101.5470,642092,1704437999999,65004518.6440,76447,310449,31432578.7570,0
1704438000000,101.5440,102.0900,101.0790,101.1330,516217,1704441599999,52392018.2510,65089,257003,26086045.3380,0
1704441600000,101.1410,102.2980,101.1220,101.4970,652074,1704445199999,66289683.9630,75439,307101,31216997.3240,0
1704445200000,101.4960,103.2500,101.4400,102.6100,1217045,1704448799999,124566391.0870,148066,624527,63930244.3560,0
1704448800000,102.6110,102.8100,99.0530,100.1150,1417136,1704452399999,142912342.5710,161510,637780,64329022.2130,0
1704452400000,100.1180,100.7240,99.3880,99.6330,1304286,1704455999999,130569530.4430,161446,607452,60828437.3940,0
1704456000000,99.6330,100.9920,98.6710,100.5490,1386009,1704459599999,138553124.2500,180737,686001,68606121.0640,0
1704459600000,100.5500,101.3670,99.7500,100.7150,1138426,1704463199999,114537937.8840,160231,533876,53718346.6670,0
1704463200000,100.7190,101.1950,96.8800,97.4680,2589955,1704466799999,255741318.1620,305447,1149129,113543122.4470,0
1704466800000,97.4700,99.1130,97.2490,98.0490,1658494,1704470399999,162698049.2550,209260,834246,81864606.5790,0
1704470400000,98.0500,98.4520,95.8800,96.0940,1620005,1704473999999,157651039.3130,203614,712374,69379254.8840,0
1704474000000,96.0980,98.0000,95.0000,97.7940,2139770,1704477599999,206806583.7670,256011,1035328,100135535.9680,0
1704477600000,97.7980,98.2780,97.0340,97.9650,780038,1704481199999,76229841.0700,114480,380976,37237689.4910,0
1704481200000,97.9640,98.9050,97.6000,97.9270,866932,1704484799999,85075166.7430,112233,431127,42321284.8030,0
1704484800000,97.9270,100.2000,97.9250,99.5690,1154531,1704488399999,114287066.8530,138902,619816,61372011.7830,0
1704488400000,99.5740,99.5940,98.2270,99.1130,767313,1704491999999,75842094.3570,117424,367690,36344639.3050,0
1704492000000,99.1130,99.8810,97.7400,99.1630,859858,1704495599999,85104502.2460,90416,430380,42606090.4090,0
1704495600000,99.1630,100.4390,99.1560,99.8740,812449,1704499199999,81149570.6790,98518,391778,39132996.6900,0
1704499200000,99.8740,100.2770,98.4270,99.0500,809995,1704502799999,80453307.5430,95058,385952,38335101.1380,0
1704502800000,99.0500,99.0560,97.7610,98.3330,722449,1704506399999,71020921.7820,83569,352370,34641931.7290,0
1704506400000,98.3340,99.1500,97.9600,98.7410,447588,1704509999999,44116097.5200,52091,227159,22390225.8330,0
1704510000000,98.7440,99.5480,98.1700,98.6700,493501,1704513599999,48749828.4920,55832,259646,25653630.3810,0
1704513600000,98.6680,98.9490,97.2860,97.3640,607934,1704517199999,59628732.3480,68698,289805,28430744.3360,0
1704517200000,97.3640,97.5740,93.4920,94.4270,2275338,1704520799999,217252540.2510,234755,1031856,98581816.4560,0
1704520800000,94.4270,94.6420,91.3980,92.0650,2846690,1704524399999,264974642.8700,313189,1337855,124600501.0300,0
1704524400000,92.0750,94.4820,92.0190,94.4500,1593583,1704527999999,148559699.0100,179716,832182,77606992.5310,0
1704528000000,94.4490,95.3400,93.6520,95.2260,1061173,1704531599999,100217841.0360,114759,540468,51064292.1570,0
1704531600000,95.2310,95.7020,94.6480,94.9980,846177,1704535199999,80593349.2620,90744,410994,39157875.5980,0
1704535200000,94.9990,95.3560,94.3790,94.6000,824986,1704538799999,78214780.1780,81799,379953,36029279.7840,0
1704538800000,94.6070,94.9750,93.9580,94.4440,686377,1704542399999,64828755.5470,78805,339466,32068433.3910,0
1704542400000,94.4380,95.1800,93.2530,93.6660,1017574,1704545999999,95860299.4420,107841,496805,46825720.7080,0
1704546000000,93.6660,94.6020,92.8180,94.2530,913090,1704549599999,85696471.5860,101504,462927,43467469.4660,0
1704549600000,94.2540,96.4960,94.2320,95.9580,1350933,1704553199999,129333456.6860,142768,713857,68331922.8620,0
1704553200000,95.9620,96.1880,94.7930,95.1560,917044,1704556799999,87544866.2320,100251,416302,39747451.8780,0
1704556800000,95.1570,96.1790,94.9240,95.5940,766879,1704560399999,73268051.9440,88253,390429,37301127.3080,0
1704560400000,95.5930,97.2200,95.1200,96.7520,1073728,1704563999999,103330549.2850,109493,584056,56215592.0470,0
1704564000000,96.7520,97.2290,96.0000,96.1470,761513,1704567599999,73480406.5740,87809,363669,35091322.6050,0
1704567600000,96.1470,96.1710,94.5010,95.0600,1142334,1704571199999,108800521.4320,107952,529614,50454326.0050,0
1704571200000,95.0610,95.6410,94.0010,94.4540,865236,1704574799999,81850935.8800,96173,416488,39402985.7510,0
1704574800000,94.4490,94.7180,93.2050,94.6480,843270,1704578399999,79265945.3710,96338,419648,39453873.4090,0
